"taxon_a"	"taxon_b"	"family"	"age"	"distance"	"qtaxid"	"staxid"	"N"
"139"	"Drosophila sechellia"	"Drosophila melanogaster"	"Drosophila"	"2.3"	0.133449680969091	"7238"	"7227"	16051
"140"	"Drosophila sechellia"	"Drosophila mojavensis"	"Drosophila"	"39.2"	0.482864107595884	"7238"	"7230"	16112
"141"	"Drosophila sechellia"	"Drosophila persimilis"	"Drosophila"	"24.9"	0.427050720884131	"7238"	"7234"	16118
"142"	"Drosophila sechellia"	"Drosophila pseudoobscura pseudoobscura"	"Drosophila"	"24.9"	0.414874213160135	"7238"	"46245"	16109
"143"	"Drosophila sechellia"	"Drosophila virilis"	"Drosophila"	"39.2"	0.471984479324437	"7238"	"7244"	16113
"144"	"Drosophila sechellia"	"Drosophila willistoni"	"Drosophila"	"49.3"	0.462161580351089	"7238"	"7260"	16117
"145"	"Drosophila sechellia"	"Drosophila yakuba"	"Drosophila"	"6.1"	0.191247944401289	"7238"	"7245"	16128
"146"	"Drosophila persimilis"	"Drosophila ananassae"	"Drosophila"	"24.9"	0.430549447978463	"7234"	"7217"	16733
"147"	"Drosophila persimilis"	"Drosophila erecta"	"Drosophila"	"24.9"	0.430541626098732	"7234"	"7220"	16733
"148"	"Drosophila persimilis"	"Drosophila grimshawi"	"Drosophila"	"39.2"	0.493321728994136	"7234"	"7222"	16715
"149"	"Drosophila persimilis"	"Drosophila melanogaster"	"Drosophila"	"24.9"	0.426449849441797	"7234"	"7227"	16643
"150"	"Drosophila persimilis"	"Drosophila mojavensis"	"Drosophila"	"39.2"	0.491011381770765	"7234"	"7230"	16721
"151"	"Drosophila persimilis"	"Drosophila pseudoobscura pseudoobscura"	"Drosophila"	"0.9"	0.0952225508447272	"7234"	"46245"	16744
"152"	"Drosophila persimilis"	"Drosophila sechellia"	"Drosophila"	"24.9"	0.436092252590612	"7234"	"7238"	16736
"153"	"Drosophila persimilis"	"Drosophila simulans"	"Drosophila"	"24.9"	0.459256647531277	"7234"	"7240"	16730
"154"	"Drosophila persimilis"	"Drosophila virilis"	"Drosophila"	"39.2"	0.477453791729529	"7234"	"7244"	16722
"155"	"Drosophila persimilis"	"Drosophila willistoni"	"Drosophila"	"49.3"	0.466322885592125	"7234"	"7260"	16724
"156"	"Drosophila persimilis"	"Drosophila yakuba"	"Drosophila"	"24.9"	0.426932028194579	"7234"	"7245"	16734
"157"	"Zea mays"	"Brachypodium distachyon"	"Poaceae"	"38.0"	0.456861266740325	"4577"	"15368"	58047
"158"	"Zea mays"	"Hordeum vulgare subsp. vulgare"	"Poaceae"	"38.0"	0.479098112895372	"4577"	"112509"	57720
"159"	"Zea mays"	"Oryza brachyantha"	"Poaceae"	"38.0"	0.438375597542817	"4577"	"4533"	58139
"160"	"Zea mays"	"Oryza glaberrima"	"Poaceae"	"38.0"	0.463428372376264	"4577"	"4538"	58070
"161"	"Zea mays"	"Oryza sativa Indica Group"	"Poaceae"	"38.0"	0.446636971358544	"4577"	"39946"	58077
"162"	"Zea mays"	"Oryza sativa Japonica Group"	"Poaceae"	"38.0"	0.43978879002688	"4577"	"39947"	57878
"163"	"Zea mays"	"Sorghum bicolor"	"Poaceae"	"8.9"	0.339519236553373	"4577"	"4558"	58085
"164"	"Zea mays"	"Triticum aestivum"	"Poaceae"	"38.0"	0.451726812917373	"4577"	"4565"	57820
"165"	"Zea mays"	"Triticum urartu"	"Poaceae"	"38.0"	0.51581906867925	"4577"	"4572"	58133
"166"	"Oryza sativa Japonica Group"	"Brachypodium distachyon"	"Poaceae"	"41.5"	0.654339056049217	"39947"	"15368"	62887
"167"	"Oryza sativa Japonica Group"	"Hordeum vulgare subsp. vulgare"	"Poaceae"	"41.5"	0.666887841501616	"39947"	"112509"	62223
"168"	"Oryza sativa Japonica Group"	"Oryza brachyantha"	"Poaceae"	"15.0"	0.531416994431927	"39947"	"4533"	62982
"169"	"Oryza sativa Japonica Group"	"Oryza glaberrima"	"Poaceae"	"0.6"	0.313972109031842	"39947"	"4538"	62968
"170"	"Oryza sativa Japonica Group"	"Setaria italica"	"Poaceae"	"38.0"	0.650010606067603	"39947"	"4555"	62853
"171"	"Oryza sativa Japonica Group"	"Sorghum bicolor"	"Poaceae"	"38.0"	0.658016286750791	"39947"	"4558"	62908
"172"	"Oryza sativa Japonica Group"	"Triticum aestivum"	"Poaceae"	"41.5"	0.656177815630133	"39947"	"4565"	62409
"173"	"Oryza sativa Japonica Group"	"Triticum urartu"	"Poaceae"	"41.5"	0.699716621735592	"39947"	"4572"	63006
"174"	"Oryza sativa Japonica Group"	"Zea mays"	"Poaceae"	"38.0"	0.682899655567087	"39947"	"4577"	62584
"175"	"Sorghum bicolor"	"Brachypodium distachyon"	"Poaceae"	"38.0"	0.547153269440384	"4558"	"15368"	32713
